"title","artist","album","year","duration"
"Skit - Taylor's Debut (Daddy Baby)","Twisted Black","Late Bloomer",2003,"0:48"
"Skit (DJ No Doubt)","Twisted Black","Late Bloomer",2003,"0:50"
"Peddy Wheat Straw Skit","Twisted Black","Late Bloomer",2003,"0:22"
"Skit","Twisted Black","Late Bloomer",2003,"0:35"
"F#$k School (Skit)","Twisted Insane","The Monster In The Dark",2007,""
"The Witness (Skit)","Twisted Insane","The Monster In The Dark",2007,""
"Please (skit)","Twiztid","Heartbroken & Homicidal",2010,"0:50"
"My Hood (Skit)","Two 4 War","Moneta",2006,""
"Hoes (Skit)","Two 4 War","Moneta",2006,""
"Salute My Niggaz (Skit)","Two 4 War","Moneta",2006,""
"Balls On Your Chin (Skit)","Txx Will","Maximum Volume",2011,""
"Musty Skit","Ty & Kory","Raw & Bangin Mixtape Vol. 2",2008,""
"Fuck It Up Skit","Tyga","Outraged & Underage",2009,"2:02"
"Test Tube Baby Skit","Tyga","Outraged & Underage",2009,"0:10"
"0315 (skit)","Typ iLL","Basic Training EP",2013,""
"Vortex Of The Mind (Skit)","U-God","The Keynote Speaker",2013,"0:33"
"Colossal Cosmos (Skit)","U-God","The Keynote Speaker",2013,"0:29"
"Dedication (Skit)","U-God","Mr. Xcitement",2005,"1:15"
"Inferno (Skit)","U-God","The Keynote Speaker",2013,"0:09"
"The Getaway *skit*","U.D.I.","The Hangover",2003,""
"Moving Out The Projects (Skit)","Ultra (4)","Big Time",2001,"0:23"
"Peeping Tom (Skit)","Ultra (4)","Big Time",2001,"0:15"
"Bitin' My Space Shit (Skit)","Ultra (4)","Big Time",2001,"0:08"
"Visit To The Zoo (Skit)","Ultra (4)","Big Time",2001,"0:29"
"Skit","Ultra X","Taste The X",2003,""
"Instructions (Skit)","UN, The (2)","Strength And Honor",2004,"0:17"
"Situations Like This (Skit)","UN, The (2)","Strength And Honor",2004,"0:17"
"Hayter Skit","Unaffiliated","Hate Me Cause You Ain't Me",1999,"0:54"
"Hayter Check Skit","Unaffiliated","Hate Me Cause You Ain't Me",1999,"1:19"
"Mark Skit","Unaffiliated","Hate Me Cause You Ain't Me",1999,"0:40"
"Stack A Million Skit","Unaffiliated","Hate Me Cause You Ain't Me",1999,"0:40"
"Personal Skit","Unaffiliated","Hate Me Cause You Ain't Me",1999,"1:05"
"Fire Up Skit","Unaffiliated","Hate Me Cause You Ain't Me",1999,"0:34"
"Broke Niggaz Skit","Uncle Murda","Say Uncle (2 Hard For Hip Hop Volume 01)",2006,""
"Body Armor Skit","Uncle Murda","Say Uncle (2 Hard For Hip Hop Volume 01)",2006,""
"Poppin' Niggaz Skit","Uncle Murda","Say Uncle (2 Hard For Hip Hop Volume 01)",2006,""
"Set Up For The Jux Skit","Uncle Murda","Say Uncle (2 Hard For Hip Hop Volume 01)",2006,""
"Murda Old Shit Skit","Uncle Murda","Say Uncle (2 Hard For Hip Hop Volume 01)",2006,""
"Africans Skit 2","Uncle Murda","Say Uncle (2 Hard For Hip Hop Volume 01)",2006,""
"Africans Skit 1","Uncle Murda","Say Uncle (2 Hard For Hip Hop Volume 01)",2006,""
"Club (skit)","Uno Da Playa","Back In The Game",2005,""
"Phone Calls (skit)","Uno Da Playa","Back In The Game",2005,""
"Hell's Angels (skit)","Untouchablez","This Thing Of Ours",1999,""
"Fete Skit","Uppa Notch","No Greater Love",2006,"0:54"
"Peace Skit","Uppa Notch","No Greater Love",2006,"1:27"
"The Dis (Club Skit)","Usual Suspects, The (10)","The Usual Suspects Compilation Vol.1",2002,""
"Skit","V-Nasty","#Dont Bite Ju$t Ta$te",2011,"0:15"
"Skit 2","V-Nasty","#Dont Bite Ju$t Ta$te",2011,"0:14"
"Skit","Vado","Slime Flu 4",2013,"0:37"
"Learn Kung Fu Skit","Various","A Wu Tang Life NYC",2005,""
"Daddy Rich (Skit)","Various","Pimpmatic",2004,"0:57"
"Metrôpole (Drum Skit)","Various","Dusty Fingers The Complete Collection",2008,"0:18"
"Soda Pop Skit","Various","G-Unit Radio West Volume 1 (LA: American Wasteland)",0,""
"Skit 1","Various","Got Da Game",2003,""
"Skit I","Various","Soundbombing III",2002,""
"Revolution Phone Prank (Skit)","Various","Spitfire (Volume 1 - The Induction)",2014,"2:03"
"We In Charge Skit","Various","Hustle & Flow - Music From And Inspired By The Motion Picture",2005,"1:01"
"Skit II","Various","Soundbombing III",2002,""
"Punk Skit","Various","Room Service Presents The Combo Platter Vol. 4 & 5",2004,""
"Dxck Rider (Skit)","Various","The Day After Hell Broke Loose",2004,"0:40"
"Double Hucy Skit","Various","Old School Hip Hop Vol. 8",0,"3:52"
"Evergreen Farms (Skit)","Various","Asterisk:Three (Special Blend By DJ JS-1)",2004,"1:16"
"Bud Hightower (Skit)","Various","The Day After Hell Broke Loose",2004,"0:54"
"The Snitch 3 (Skit)","Various","The Day After Hell Broke Loose",2004,"1:03"
"Bum Guy Skit","Various","Hustle & Flow - Music From And Inspired By The Motion Picture",2005,"1:55"
"Leave Me Alone (Skit)","Various","Untranslated Prescriptions",1995,""
"ODB Is Dead!: Skit","Various","A Wu Tang Life NYC",2005,""
"Dame Skit","Various","Warriors Vol. 6 Unfinished Business",0,""
"Sandy Skit","Various","Staten Island's First Mixed Tape",0,""
"Faded Lady (Skit)","Various","Dusty Fingers The Complete Collection",2008,"3:26"
"Things Groupies Say (Skit)","Various","Roc-A-Fella Presents This Thing Of Ours",1998,"4:13"
"Street Promoters (Skit)","Various","Lyricist Lounge Volume One",1998,"0:44"
"Skit-Cyberbanger","Various","HiPowerMusic.Com Part II",2005,""
"Ony U (Radio Edit W/o Skit)","Various","Promo Only Mainstream Radio: January 05",2005,""
"The Call (Skit)","Various","Black Gangster - Original Soundtrack",1999,""
"Drum Skit","Various","Dusty Fingers The Complete Collection",2008,"0:11"
"Airplane Skit","Various","Axis Of Justice: Concert Series - Volume 1",2004,""
"Skit 2","Various","Lyrical Assassins (Underground Hip-Hop Compilation)",1998,""
"I'll Be On A Big FBI Case (Skit)","Various","Def Jam's Rush Hour Soundtrack",1998,""
"Outside The Lounge Skit","Various","Lyricist Lounge Volume One: Snippets",1998,""
"Gon Fo Breffast (Skit)","Various"," A Compilation Of Portland Music Volume 4",2007,"3:00"
"Backpack Skit","Various","The Anti Backpack Movement",2002,""
"Touchin Down (Skit)","Various","Hustlin City 2 City Compilation",2001,""
"Blow Shit Up...FBI Wants You (Skit)","Various","Def Jam's Rush Hour Soundtrack",1998,""
"Long Range Pimpin' (Skit)","Various","Hustlin City 2 City Compilation",2001,""
"Is This Weed...Cigaweed (Skit)","Various","Def Jam's Rush Hour Soundtrack",1998,""
"The Phone Call (Skit)","Various","Lyricist Lounge Volume One",1998,"1:03"
"Jackie Chan Kicks Ass (Skit)","Various","Def Jam's Rush Hour Soundtrack",1998,""
"C'Mon Bitch Skit","Various","Hustlin' Pays",2000,""
"Never Touch A Black Man's Radio (Skit)","Various","Def Jam's Rush Hour Soundtrack",1998,""
"A Mob Tale (Skit)","Various","Mob Tales",1999,"0:41"
"Skit / Big Meeti","Various","All Night N Da' Lab",2001,""
"Killer (Skit)","Various","Homie Alone Vol One",2008,""
"Livewire 4 Hire (Skit)","Various","Westcoast Countdown 6",2009,"0:56"
"Stakeout (Skit)","Various","The Bedford Files",2002,"0:54"
"Skit (Money 4 The Month)","Various","Bay 2 L.A.: Westside Badboys",2000,"0:24"
"Boogie Man Skit","Various","Devil Shyt Volume 2 (Devilish Sounds Special Edition)",2009,"0:04"
"$ The Weed: Skit","Various","Think Differently Music Presents - Wu-Tang / Razor Sharp Records: Lost Anthology",2007,"0:08"
"Skit (Bay 2 LA)","Various","Bay 2 L.A.: Westside Badboys",2000,"0:32"
"The skit","Various","Beatmasters Unreleased",1995,""
"Merry Christmas Skit","Various","The Ovun.com And HedAk Clothing Present: The Holidaze",2009,""
"Sammiches Skit","Various","The Ovun.com And HedAk Clothing Present: The Holidaze",2009,""
"Was Your Momma There? Skit","Various","The Ovun.com And HedAk Clothing Present: The Holidaze",2009,""
"Pass The P's Skit","Various","The Ovun.com And HedAk Clothing Present: The Holidaze",2009,""
"Roscoe And Santa Skit","Various","The Ovun.com And HedAk Clothing Present: The Holidaze",2009,""
"Puzzle (Skit)","Various","Dusty Fingers The Complete Collection",2008,"0:51"
"1-800-ATL-PIMP (Skit)","Various","Rhythm & Quad 166 Vol.1",1998,"1:44"
"MC Foul Mouth (Skit)","Various","Rhythm & Quad 166 Vol.1",1998,"2:08"
"Thank You Skit","Various","The Ovun.com And HedAk Clothing Present: The Holidaze",2009,""
"Mob Shit (skit)","Various","Turf Stories",1999,"1:18"
"Cut Us A Break (Skit)","Various","Georgia Rage ""Hit Squad"" Compilation V. 1",2001,""
"G. (Skit)","Various","Wicked Minds Presents - Mr. Chino Grande - Gangster By Blood",2005,""
"I'm Michael Jackson, You Tito (Skit)","Various","Def Jam's Rush Hour Soundtrack",1998,""
"Bug Out (Skit)","Various","Cream Team EP",1996,""
"Situation (Skit)","Various","Cream Team EP",1996,""
"Gametime (Skit)","Various","Georgia Rage ""Hit Squad"" Compilation V. 1",2001,""
"Radio Skit","Various","Stricklee Hip Hop Presents: Dame Hustle The Hip Hop Experiment",2009,""
"Passion Skit","Various","Stricklee Hip Hop Presents: Dame Hustle The Hip Hop Experiment",2009,""
"3 Wheel (Pode Up) (Skit)","Various","Pimpology Records The Art Of Pimpin",2001,""
"Smoke - Skit","Various","Lace Tight Entertainment Presents: Flossalation Vol. 1 - World Domination",2001,""
"The Journey (Drum Skit)","Various","Dusty Fingers The Complete Collection",2008,"0:30"
"Sandy Skit II","Various","Staten Island's First Mixed Tape",0,""
"EPA City - Skit","Various","Epa-City Compilation, The",1993,"0:15"
"The Next Nigga (Skit)","Various","Lock Down",2000,"0:22"
"Skit 'N Skatterin'","Various","Crooked - The Movie / The Soundtrack",2002,"2:29"
"Shyheim's Skit","Various","Staten Island's First Mixed Tape",0,""
"Rap A Taste (Skit)","Various","Pimpmatic",2004,"0:16"
"Ali's Skit","Various","Raw & Uncut Vol. 1",2002,""
"New DJ Skit","Various","Pimps & Players",2002,"2:50"
"No Brains Skit","Various","P-Street Sampler",1995,"2:58"
"Tramps And Tricks (Skit)","Various","Well Connected",1999,""
"Beggar Song (Skit)","Various","Dusty Fingers The Complete Collection",2008,"1:10"
"Skit","Various","Execution Style Vol.1 Shots Fired",2006,""
"Attention (Drum Skit)","Various","Dusty Fingers The Complete Collection",2008,"3:01"
"Locked Up Freestyle (Skit)","Various","Doble Filo Ent Presents - Cut Throat Business",2010,""
"Pinky The Pornstar Meets The Cartel Skit","Various","Deep In The Game 9",2008,""
"Please Tell Me You Speak English... (Skit)","Various","Def Jam's Rush Hour Soundtrack",1998,""
"B-Team (Skit)","Various","Anger Management 3",2005,"1:01"
"Dirty Steve (Skit)","Various","Anger Management 3",2005,"0:38"
"Big Dick Skit","Various","Pimps & Players",2002,"3:12"
"Chess: Skit","Various","A Wu Tang Life NYC",2005,""
"NY1 News Skit","Various","A Wu Tang Life NYC",2005,""
"Bounce - Skit","Various","Lace Tight Entertainment Presents: Flossalation Vol. 1 - World Domination",2001,""
"All Bitches Da Same (Skit)","Various","Pimpmatic",2004,"0:20"
"Man Ain't Like A Dog Skit","Various","Hustle & Flow - Music From And Inspired By The Motion Picture",2005,"2:39"
"Runn My Thang (Skit)","Various","Pimpmatic",2004,"0:11"
"Mob Shit (Skit)","Various","Turf Stories",1999,"1:18"
"That's What They All Say (Skit)","Various","Emony Of The State",2004,"1:38"
"Race Day - Skit","Various","Murs 3:16 Presents: Murs And The Misadventures Of The Nova Express",2008,""
"P.W. Esquire (Skit)","Various","The Real High Life 2000",2000,"0:26"
"Microphone Skit","Various","Hustle & Flow - Music From And Inspired By The Motion Picture",2005,"1:02"
"Agent Striknine (Skit)","Various","The Real High Life 2000",2000,"0:18"
"Moment Of Truth (Skit)","Various","The Real High Life 2000",2000,"0:24"
"Skit","various-Takeyla`s Records Presents","Lil Rock 2000",1999,""
"Alpha Skit","Vegtible Bros.","Innes St. Session",2011,""
"Alpha Skit (Instrumental)","Vegtible Bros.","Innes St. Session",2011,""
"Dboy P Skit","Veks","Lookin' Up From The Gutter",2013,"1:54"
"Skit","Vell (2)","Stay Down To Come Up",2014,""
"How To Destroy (Skit)","Vendetta Kingz","New Musical Order",2008,""
"Humanity (Skit)","Vendetta Kingz","New Musical Order",2008,""
"Put In Work (Skit)","Vendetta Kingz","New Musical Order",2008,""
"OMU Rehersal Skit 2","Verbal Kent","Fist Shaking (Clean Version)",2008,""
"OMU Rehearsal Skit 2","Verbal Kent","Fist Shaking",2008,""
"OMU Rehersal Skit 1","Verbal Kent","Fist Shaking (Clean Version)",2008,""
"OMU Rehearsal Skit 1","Verbal Kent","Fist Shaking",2008,""
"100 - Skit","Vicious (3)","Am I My Brothers Keeper",2008,""
"Poision - Skit","Vicious (3)","Am I My Brothers Keeper",2008,""
"Bitches - Skit","Vicious (3)","Am I My Brothers Keeper",2008,""
"R.I.P. Pimp C - Skit","Vicious (3)","Am I My Brothers Keeper",2008,""
"Skit","Vin Roc","So Much Soul Vol. 1",0,""
"Wu World Order (Skit) (Remix)","Vingthor The Hurler","Vingthor The Hurler Vs Wu-Tang Clan Vol. 1 & 2",2014,""
"Better Man (Skit)","Vivian Green","Beautiful",2010,""
"Temptress's Attempt (Skit)","Vocab","On The Rock",2002,""
"Iron Horse (skit)","Von Pea","Pea's Gotta Have It",2010,""
"Breakfast At The Bodega (skit)","Von Pea","Pea's Gotta Have It",2010,""
"Skit","Wacsta, The","Westcoast Resurrected",2005,"0:29"
"Out The Bag Waka Skit","Waka Flocka Flame","Salute Me Or Shoot Me",2009,"0:56"
"Tasty (Skit)","Wale","100 Miles & Running: Mixed By Nick Catchdubs",2007,""
"Skit","Wanya Morris","Millennium Renaissance",1999,"1:59"
"The Robbery Tape (Skit)","Wara From The NBHD","The Ill Street Blues",2013,"1:19"
"Stranger Danger (Skit)","Warm Brew","Natural Spirit",2010,""
"Chiefin' In Tha Streetz (Skit)","Warm Brew","Natural Spirit",2010,""
"Pump Up (Skit)","Warren G","The Return Of The Regulator",2001,""
"Deez Nuts Part II (Skit)","Warren G","The Return Of The Regulator",2001,""
"Skit","Watch City","The Rhyme Monopoly",2004,""
"Who We Are (Skit)","Watchmen (12)","Power",2010,"2:12"
"Skit #2","Watsky","Cardboard Castles",2013,""
"Skit #1","Watsky","Cardboard Castles",2013,""
"Already Begun (Skit)","Wax Tailor","In The Mood For Life",2009,"0:33"
"More Songs (Skit)","Wax Tailor","In The Mood For Life",2009,"0:22"
"Masquerade Theme (Skit)","Wax Tailor","In The Mood For Life",2009,"0:50"
"Street Scent (Skit)","Wax Tailor","In The Mood For Life",2009,"0:25"
"Escape Theme (Skit)","Wax Tailor","In The Mood For Life",2009,"1:00"
"187um Burgers (Skit)","WC","Ghetto Heisman",2002,""
"Where Y'All From (Skit)","WC","The Shadiest One",1998,"1:10"
"Fake Niggas (Skit)","WC","Ghetto Heisman",2002,""
"187 Um Burgers (Skit)","WC","Ghetto Heisman",2002,"0:33"
"Grandma Locked Out (Skit)","WC And The Maad Circle","Ain't A Damn Thang Changed",1991,"0:37"
"The Break Up (Skit)","WC And The Maad Circle","Ain't A Damn Thang Changed",1991,"0:27"
"Skit (Wendy's Theme)","Wendy Williams","Brings The Heat Vol. 1",2005,""
"Skit","West Coast Killaz","West Coast Killaz",2004,"0:58"
"Priceless (Skit)","West Coast Mafia Gang","Gang Affiliated",2004,""
"Set Trippin', Pt. 2 (Skit)","West Coast Mafia Gang","Gang Affiliated",2004,""
"G's Vs B's (Skit)","West Coast Mafia Gang","Gang Affiliated",2004,""
"Set Trippin', Pt. 1 (Skit)","West Coast Mafia Gang","Gang Affiliated",2004,""
"WK Radio Skit","West Kraven","The Big Worm Series Vol.1",2009,""
"D-Boy Skit","West Kraven","The Big Worm Series Vol.1",2009,""
"Call Me Back (Skit)","Whiteout (4)","Great White",2010,"1:08"
"Skit","Whoo Whee","Outta Control",2001,""
"Skit","Wildcookie","Cookie Dough LP",2015,""
"Jason Statham Skit","Wiley (2)","Creating A Buzz Volume One",2011,"0:04"
"Sasha Baron Cohen Skit","Wiley (2)","Creating A Buzz Volume One",2011,"0:09"
"Skit","Will Lean","Botany Boy",2013,""
"Skit (Ghetto Tour Guide)","Willie Northpole","Tha Connect",2009,""
"Skit (At Salt's Grave)","Willie Northpole","Tha Connect",2009,""
"Skit (How Hard)","Willie Northpole","Tha Connect",2009,""
"Skit","Wise Intelligent","The Talented Timothy Taylor: Back 2 School (1st Period)",2007,"0:32"
"Dinner Table Skit 8","Wiseguys","Wise Guys",1996,""
"Dinner Table Skit 4","Wiseguys","Wise Guys",1996,""
"Dinner Table Skit 3","Wiseguys","Wise Guys",1996,""
"Dinner Table Skit 2","Wiseguys","Wise Guys",1996,""
"Dinner Table Skit 7","Wiseguys","Wise Guys",1996,""
"Dinner Table Skit 6","Wiseguys","Wise Guys",1996,""
"Dinner Table Skit","Wiseguys","Wise Guys",1996,""
"Dinner Table Skit 5","Wiseguys","Wise Guys",1996,""
"Skit 1","Wiz Khalifa","Kush & OJ",2010,"1:22"
"Skit 2","Wiz Khalifa","Kush & OJ",2010,"1:22"
"Slim Skit","Wiz Khalifa","Kush & OJ",2010,"3:40"
"Skit 3","Wiz Khalifa","Kush & OJ",2010,"0:52"
"Skit","Wizeguys","Wizeguys",2008,"1:34"
"Skit","Wood","The Underground Jungle Vol. 2 - The One ",0,""
"Club Skit","Wood Street Playaz","Rules Of Da Game",0,""
"Car Skit","Wood Street Playaz","Rules Of Da Game",0,""
"Buffet (Skit)","Worldfame","Inside Loop 12",2003,""
"C-Pone Sounding Like A White Guy (Skit)","Worldfame","Inside Loop 12",2003,""
"Message Skit","Woss Ness","Da Game Done Changed",1997,"1:08"
"Phone Skit","Woss Ness","Da Game Done Changed",1997,"1:01"
"Skit","Woss Ness","Paper Chasin",2003,""
"Weinerman Skit","Woss Ness","The Only Way To Beat Us To Cheat Us",2001,"0:36"
"Skit / Radio","Wreckshop Family, The","The Dirty 3rd - The Album",1999,"0:11"
"Skit / Millionaire","Wreckshop Family, The","The Dirty 3rd - The Album",1999,"0:06"
"Skit / Shootout","Wreckshop Family, The","The Dirty 3rd - The Album",1999,"0:13"
"Skit / Feds","Wreckshop Family, The","The Dirty 3rd - The Album",1999,"0:17"
"Skit / Baby Mama Drama","Wreckshop Family, The","The Dirty 3rd - The Album",1999,"0:35"
"Skit / Car Dealer","Wreckshop Family, The","The Dirty 3rd - The Album",1999,"0:17"
"Skit / Dope Rip Off","Wreckshop Family, The","The Dirty 3rd - The Album",1999,"0:26"
"Skit","Wreckshop Records","The Dirty Third 2 - Home Sweet Home - The Soundtrack",2002,""
"Skit","Wu Tang South","Wu South Volume 1",2009,""
"Torture Skit","Wu-Tang Clan","Enter The Wu-Tang (Promo Sampler)",1993,""
"Violent Skit","Wu-Tang Clan","8 Diagrams Mixtape",2007,"0:40"
"Skit - Greatest Trick The Devil Ever Pulled.....","Wu-Tang Clan","Group Classic",2005,""
"Damsel In Distress (Skit)","Wu-Tang Management","Watchmen",2010,""
"Mantis Style (Skit)","Wu-Tang Management","Watchmen",2010,""
"More Soldiers (Skit)","Wu-Tang Management","Watchmen",2010,""
"Street Corner (Skit)","Wu-Tang Management","Watchmen",2010,""
"Basis Of Hip-Hop (Skit)","Wu-Tang Management","Watchmen",2010,""
"Closing Arguments (Interlude/Skit)","Wyclef Jean","The Carnival",1997,"1:35"
"Intro / Court / Clef / Intro (Skit / Interlude)","Wyclef Jean","The Carnival",1997,"3:15"
"Saddam Intro (Skit)","X-Kid","The Don Juan Of Saddam",2010,""
"Eliminate Them (Skit)","X-Kid","The Don Juan Of Saddam",2010,""
"High Notoriety (Skit)","X-Raided","The Eternally Unforgiven Project",2009,""
"A Monsta (Skit)","X-Ray (3)","Monster Mixes Vol. 2",2003,""
"A Giant Grave (Skit)","X-Ray (3)","Monster Mixes Vol. 2",2003,""
"Wavelengths (Skit)","X-Ray (3)","Monster Mixes Vol. 2",2003,""
"The S*it Talker (Skit)","XL Middleton","100 Proof Music: The Alcothology",2006,""
"Prankster (Skit)","Xtraordinary Mental-Men","Eve Of A Next Revolution",2007,"0:39"
"The Donnell Rawlings Show (Skit)","Xzibit","Full Circle",2006,""
"Pimp Skit","Yak Ballz","My Claim",2004,"1:16"
"Late 80s Skit","Yam Who?","Future Soul Mix - Live On Andrew Meza's BTS Radio",2004,""
"Barbarella Skit","YeMs","Space Wind Frequencies",2012,"0:40"
"Skit 1","YG (2)","Just Re'd Up",2011,"0:31"
"Hot Boyz Skit","YG (2)","Just Re'd Up 2",2013,"0:18"
"Skit 2","YG (2)","Just Re'd Up",2011,""
"Skit 3","YG (2)","Just Re'd Up",2011,"0:36"
"Girlfriend Trippin Skit","YG (2)","Just Re'd Up 2",2013,"0:32"
"Broke Bitch Skit","YG (2)","Just Re'd Up 2",2013,"0:19"
"Sex Therapy 101 (Skit)","Ying Yang Twins","U.S.A. United State Of Atlanta",2005,""
"Sex Therapy 103 (Skit)","Ying Yang Twins","U.S.A. United State Of Atlanta",2005,""
"Sex Therapy 102 (Skit)","Ying Yang Twins","U.S.A. United State Of Atlanta",2005,""
"Patron Skit","Ying Yang Twins","Chemically Imbalanced",2006,""
"Ying Yanguage Skit","Ying Yang Twins","The Official Work",2008,""
"What Ying Yang Mean Skit","Ying Yang Twins","The Official Work",2008,""
"How Dat Shit Came Upon Skit","Ying Yang Twins","The Official Work",2008,""
"Outside Da Box Skit","Ying Yang Twins","The Official Work",2008,""
"Ying Meets The Yang Skit","Ying Yang Twins","The Official Work",2008,""
"Music From The Soul Skit","Ying Yang Twins","The Official Work",2008,""
"The Courthouse (Skit)","Ying Yang Twins","U.S.A. United State Of Atlanta",2005,""
"We At War (Skit)","Ying Yang Twins","U.S.A. United State Of Atlanta",2005,""
"One Mo For The Road (Skit)","Ying Yang Twins","Chemically Imbalanced",2006,""
